scenario,run,subset,V_net,TTT,dist_kmveh
no02,Case1_no02_r06_volspd.csv,all,27.1339347700981,11747711.06,88544.896
no02,Case1_no02_r07_volspd.csv,all,27.026529585511703,11797830.76,88570.67280000001
no02,Case1_no02_r08_volspd.csv,all,27.111471204810424,11758630.870000001,88553.82839999998
no02,Case1_no02_r09_volspd.csv,all,26.99393198714615,11813839.51,88583.8834
no02,Case1_no02_r11_volspd.csv,all,26.985263609173117,11818495.59,88590.33859999999
no02,Case1_no02_r12_volspd.csv,all,26.85518326765757,11870337.51,88550.0248
no02,Case1_no02_r13_volspd.csv,all,26.96092998062587,11831197.870000001,88605.5826
no02,Case1_no02_r14_volspd.csv,all,27.13130192720971,11749483.14,88549.6596
no02,Case1_no02_r15_volspd.csv,all,26.962876249236174,11828448.93,88591.39020000001
no02,Case1_no02_r16_volspd.csv,all,26.947576895245952,11837557.559999999,88609.3035
no02,Case1_no02_r17_volspd.csv,all,26.865408965120732,11869319.91,88576.1482
no02,Case1_no02_r18_volspd.csv,all,26.947985898244383,11832455.8,88572.4589
no02,Case1_no02_r19_volspd.csv,all,26.742320242993422,11923519.51,88572.9381
no02,Case1_no02_r20_volspd.csv,all,26.98276743899162,11809295.2,88513.185
no03,Case1_no03_r01_volspd.csv,all,26.449328770247302,12056878.39,88582.3168
no03,Case1_no03_r02_volspd.csv,all,26.56300814884975,12003367.719999999,88568.2096
no03,Case1_no03_r03_volspd.csv,all,26.358004581721854,12097216.239999998,88571.8003
no03,Case1_no03_r04_volspd.csv,all,26.51703474228694,12008756.96,88454.61820000001
no03,Case1_no03_r06_volspd.csv,all,26.53576776335855,12007280.43,88506.2236
no03,Case1_no03_r07_volspd.csv,all,26.665368802873857,11955173.38,88552.5298
no03,Case1_no03_r08_volspd.csv,all,26.364670656352438,12090684.850000001,88546.36779999999
no03,Case1_no03_r09_volspd.csv,all,26.4089127491859,12069999.7,88543.21359999999
no03,Case1_no03_r11_volspd.csv,all,26.506858278027252,12032260.82,88593.7312
no03,Case1_no03_r12_volspd.csv,all,26.39366287937807,12084741.41,88600.1641
no03,Case1_no03_r13_volspd.csv,all,26.699645653367824,11944151.9,88584.61760000001
no03,Case1_no03_r14_volspd.csv,all,26.566627579688127,11995887.57,88525.0771
no03,Case1_no03_r15_volspd.csv,all,26.76409906866231,11910329.790000001,88547.0129
no03,Case1_no03_r16_volspd.csv,all,26.47300462855197,12041351.259999998,88547.4299
no03,Case1_no03_r17_volspd.csv,all,26.27281567283218,12144627.71,88631.54590000001
no03,Case1_no03_r18_volspd.csv,all,26.539193757820794,12009998.05,88537.68479999999
no03,Case1_no03_r19_volspd.csv,all,26.36723529438059,12102851.3,88644.09109999999
no03,Case1_no03_r20_volspd.csv,all,26.357138716218813,12095126.469999999,88553.5906
no04,Case1_no04_r01_volspd.csv,all,26.76726651451689,11917896.62,88613.7542
no04,Case1_no04_r02_volspd.csv,all,26.514405957795393,12024884.25,88564.6285
no04,Case1_no04_r03_volspd.csv,all,26.569585909057164,11998082.030000001,88551.13089999999
no04,Case1_no04_r04_volspd.csv,all,26.688662069695326,11947683.779999997,88574.3597
no04,Case1_no04_r06_volspd.csv,all,26.716908028378743,11933609.14,88563.6494
no04,Case1_no04_r07_volspd.csv,all,26.541385066995893,12016828.680000002,88595.35480000002
no04,Case1_no04_r08_volspd.csv,all,26.659953840651347,11960099.44,88571.0275
no04,Case1_no04_r09_volspd.csv,all,26.692539911865538,11944008.219999999,88559.9767
no04,Case1_no04_r11_volspd.csv,all,26.447718769993237,12055641.0,88567.83410000001
no04,Case1_no04_r12_volspd.csv,all,26.49862768131253,12027567.030000001,88531.6724
no04,Case1_no04_r13_volspd.csv,all,26.561122366140562,12005111.98,88574.7912
no04,Case1_no04_r14_volspd.csv,all,26.71496409176482,11935636.71,88572.25170000001
no04,Case1_no04_r15_volspd.csv,all,26.61148089847558,11980940.89,88564.04990000001
no04,Case1_no04_r16_volspd.csv,all,26.460499754482854,12053455.46,88594.5709
no04,Case1_no04_r17_volspd.csv,all,26.27517681420306,12137108.97,88584.6345
no04,Case1_no04_r18_volspd.csv,all,26.68971536837682,11947118.040000003,88573.66110000001
no04,Case1_no04_r19_volspd.csv,all,26.499011922072114,12033256.350000001,88574.83430000002
no04,Case1_no04_r20_volspd.csv,all,26.50781999213176,12037753.799999999,88637.3919
no05,Case1_no05_r01_volspd.csv,all,26.32424414991159,12123764.21,88652.4803
no05,Case1_no05_r02_volspd.csv,all,26.50159937741424,12032013.100000001,88574.33080000001
no05,Case1_no05_r03_volspd.csv,all,26.128488710398102,12198343.77,88534.52429999999
no05,Case1_no05_r04_volspd.csv,all,26.408628180530236,12067435.96,88523.45259999999
no05,Case1_no05_r06_volspd.csv,all,26.339062816770024,12107413.190000001,88582.7546
no05,Case1_no05_r07_volspd.csv,all,26.484423843361974,12044577.450000001,88609.3595
no05,Case1_no05_r08_volspd.csv,all,26.354179375901865,12087289.75,88486.27840000001
no05,Case1_no05_r09_volspd.csv,all,26.264674160997693,12135107.59,88534.6241
no05,Case1_no05_r11_volspd.csv,all,26.348282241721076,12102357.04,88576.75530000002
no05,Case1_no05_r12_volspd.csv,all,26.483337159197127,12050176.34,88646.9119
no05,Case1_no05_r13_volspd.csv,all,26.44108089838518,12053821.690000001,88532.24290000001
no05,Case1_no05_r14_volspd.csv,all,26.326671273429923,12117097.59,88611.90139999999
no05,Case1_no05_r15_volspd.csv,all,26.43835465544155,12059978.5,88568.3302
no05,Case1_no05_r16_volspd.csv,all,26.371295453912786,12095924.559999999,88607.00009999999
no05,Case1_no05_r17_volspd.csv,all,26.212785830428416,12155539.28,88508.4855
no05,Case1_no05_r18_volspd.csv,all,26.310978655955672,12110772.26,88512.85290000001
no05,Case1_no05_r19_volspd.csv,all,26.291100660233727,12133107.83,88609.0998
no05,Case1_no05_r20_volspd.csv,all,26.42918026232862,12060718.989999998,88543.03229999998
no06,Case1_no06_r01_volspd.csv,all,26.584132592869462,11996962.48,88591.3448
no06,Case1_no06_r02_volspd.csv,all,26.547817950672837,12012748.600000001,88586.7397
no06,Case1_no06_r03_volspd.csv,all,26.29173081658091,12122820.830000002,88536.095
no06,Case1_no06_r04_volspd.csv,all,26.312610776053532,12121561.54,88597.203
no06,Case1_no06_r06_volspd.csv,all,26.472991834350893,12046109.100000001,88582.3744
no06,Case1_no06_r07_volspd.csv,all,26.54119571548027,12018883.620000001,88609.8729
no06,Case1_no06_r08_volspd.csv,all,26.49749646869206,12039094.5,88612.74
no06,Case1_no06_r09_volspd.csv,all,26.433107042019586,12060683.879999999,88555.93000000002
no06,Case1_no06_r11_volspd.csv,all,26.302097605739032,12130634.240000002,88628.09049999999
no06,Case1_no06_r12_volspd.csv,all,26.279200395901306,12135084.870000001,88583.4242
no06,Case1_no06_r13_volspd.csv,all,26.361900881005187,12101956.059999999,88619.6017
no06,Case1_no06_r14_volspd.csv,all,26.616890787133144,11972382.719999999,88518.77870000001
no06,Case1_no06_r15_volspd.csv,all,26.363938732129203,12096510.46,88586.5724
no06,Case1_no06_r16_volspd.csv,all,26.199092992124275,12178485.209999999,88629.24070000002
no06,Case1_no06_r17_volspd.csv,all,26.091830469712548,12221822.489999998,88580.47790000001
no06,Case1_no06_r18_volspd.csv,all,26.364555437871854,12101808.07,88627.44159999999
no06,Case1_no06_r19_volspd.csv,all,26.360765207678025,12104985.700000001,88637.96830000001
no06,Case1_no06_r20_volspd.csv,all,26.360937154383574,12098265.770000001,88589.3399
no07,Case1_no07_r01_volspd.csv,all,25.989335136532176,12275547.68,88620.3674
no07,Case1_no07_r02_volspd.csv,all,26.12021942136406,12227400.059999999,88717.3257
no07,Case1_no07_r03_volspd.csv,all,25.931798290919417,12295264.610000001,88566.2005
no07,Case1_no07_r04_volspd.csv,all,25.948685889280146,12292616.030000001,88604.78669999998
no07,Case1_no07_r06_volspd.csv,all,25.86003919136235,12331860.16,88583.9964
no07,Case1_no07_r07_volspd.csv,all,26.34252491771465,12114879.080000002,88649.02889999999
no07,Case1_no07_r08_volspd.csv,all,26.05017908871751,12239028.959999999,88563.5823
no07,Case1_no07_r09_volspd.csv,all,25.995458533900706,12264413.91,88560.8509
no07,Case1_no07_r11_volspd.csv,all,25.931462497763277,12301112.419999998,88607.1765
no07,Case1_no07_r12_volspd.csv,all,26.073945339337538,12238338.32,88639.379
no07,Case1_no07_r13_volspd.csv,all,26.051415353596987,12248064.75,88633.17280000001
no07,Case1_no07_r14_volspd.csv,all,26.085872587896578,12225031.36,88583.50289999999
no07,Case1_no07_r15_volspd.csv,all,26.10833135907268,12215163.469999999,88588.2043
no07,Case1_no07_r16_volspd.csv,all,25.845915749348745,12349547.030000001,88662.59780000002
no07,Case1_no07_r17_volspd.csv,all,25.88414495338542,12319587.81,88578.3324
no07,Case1_no07_r18_volspd.csv,all,25.984698842321333,12275656.780000001,88605.3457
no07,Case1_no07_r19_volspd.csv,all,25.729554800414064,12400554.66,88627.9863
no07,Case1_no07_r20_volspd.csv,all,26.0842451852903,12223400.5,88566.1599
no08,Case1_no08_r01_volspd.csv,all,26.228421258666465,12164061.77,88623.37120000001
no08,Case1_no08_r02_volspd.csv,all,26.064718992068787,12235142.03,88584.87190000001
no08,Case1_no08_r03_volspd.csv,all,25.864182129131233,12323641.280000001,88539.1396
no08,Case1_no08_r04_volspd.csv,all,26.067749659556362,12237113.89,88609.45039999999
no08,Case1_no08_r06_volspd.csv,all,26.174644503794827,12183828.370000001,88585.3823
no08,Case1_no08_r07_volspd.csv,all,26.149522157452164,12203788.73,88645.3455
no08,Case1_no08_r08_volspd.csv,all,26.338133120727445,12112502.47,88616.8618
no08,Case1_no08_r09_volspd.csv,all,26.190560386703623,12179688.34,88609.1286
no08,Case1_no08_r11_volspd.csv,all,25.888841363036295,12320545.82,88601.2934
no08,Case1_no08_r12_volspd.csv,all,25.9872171388576,12275459.95,88612.512
no08,Case1_no08_r13_volspd.csv,all,26.138231239696804,12209613.57,88649.3619
no08,Case1_no08_r14_volspd.csv,all,26.419512082176315,12075742.5,88620.8958
no08,Case1_no08_r15_volspd.csv,all,26.196617562340634,12176512.370000001,88606.5105
no08,Case1_no08_r16_volspd.csv,all,25.961950279558863,12282384.59,88576.29389999999
no08,Case1_no08_r17_volspd.csv,all,25.905837305722468,12312351.18,88600.49070000001
no08,Case1_no08_r18_volspd.csv,all,25.963683578442645,12281909.97,88578.7845
no08,Case1_no08_r19_volspd.csv,all,25.8089845185828,12361116.4,88618.8505
no08,Case1_no08_r20_volspd.csv,all,26.162905376599486,12189547.34,88587.21489999999
no01,Case1_no01_r01_volspd.csv,target,25.921234272185412,1804293.1099999999,12991.529
no01,Case1_no01_r02_volspd.csv,target,26.309463825281366,1798051.58,13140.4925
no01,Case1_no01_r03_volspd.csv,target,26.004772756040428,1828834.31,13210.672399999998
no01,Case1_no01_r04_volspd.csv,target,26.060240131589193,1820982.41,13182.0108
no01,Case1_no01_r06_volspd.csv,target,25.39350452684957,1846174.67,13022.456900000001
no01,Case1_no01_r07_volspd.csv,target,26.15369391035614,1794978.86,13040.3688
no01,Case1_no01_r08_volspd.csv,target,26.12421611488223,1819255.74,13201.841699999999
no01,Case1_no01_r09_volspd.csv,target,25.324635249253205,1860018.81,13084.527199999999
no01,Case1_no01_r11_volspd.csv,target,25.810086196191374,1830728.2199999997,13125.3481
no01,Case1_no01_r12_volspd.csv,target,25.901705109620195,1828796.7899999998,13158.0431
no01,Case1_no01_r13_volspd.csv,target,25.32753000123775,1857810.8499999999,13070.4889
no01,Case1_no01_r14_volspd.csv,target,25.414926998336195,1842838.8199999996,13009.892800000001
no01,Case1_no01_r15_volspd.csv,target,25.68249640756461,1849281.69,13192.825100000002
no01,Case1_no01_r16_volspd.csv,target,25.534563677987627,1841927.24,13064.669
no01,Case1_no01_r17_volspd.csv,target,25.790781255821862,1822871.28,13059.242900000003
no01,Case1_no01_r18_volspd.csv,target,25.894557936051715,1814501.28,13051.5857
no01,Case1_no01_r19_volspd.csv,target,25.5739395150401,1857957.75,13198.6942
no01,Case1_no01_r20_volspd.csv,target,25.491639879379665,1855189.7400000002,13136.6191
no02,Case1_no02_r01_volspd.csv,target,27.010428679227395,1741232.96,13064.2913
no02,Case1_no02_r02_volspd.csv,target,26.154404484376673,1795197.99,13042.315099999998
no02,Case1_no02_r03_volspd.csv,target,26.349864351706938,1776627.5899999999,13003.86
no02,Case1_no02_r04_volspd.csv,target,26.220811101802447,1797906.25,13095.155600000002
no02,Case1_no02_r06_volspd.csv,target,26.003503009266787,1807126.25,13053.2258
no02,Case1_no02_r07_volspd.csv,target,26.348002501853788,1784868.4900000002,13063.255399999998
no02,Case1_no02_r08_volspd.csv,target,26.04706175060781,1801434.9,13033.9128
no02,Case1_no02_r09_volspd.csv,target,26.08083347456824,1816536.29,13160.2168
no02,Case1_no02_r11_volspd.csv,target,25.84916856915482,1817462.04,13049.9674
no02,Case1_no02_r12_volspd.csv,target,25.906562433271496,1814067.36,13054.513700000001
no02,Case1_no02_r13_volspd.csv,target,25.86846225341346,1814828.8699999999,13040.786699999999
no02,Case1_no02_r14_volspd.csv,target,25.828619822647745,1823080.27,13079.902
no02,Case1_no02_r15_volspd.csv,target,25.882365593162888,1809341.5499999998,13008.3443
no02,Case1_no02_r16_volspd.csv,target,25.620800461939968,1819006.9100000001,12945.6703
no02,Case1_no02_r17_volspd.csv,target,25.785988348841034,1823174.85,13058.9904
no02,Case1_no02_r18_volspd.csv,target,26.032213095249308,1807836.83,13072.776
no02,Case1_no02_r19_volspd.csv,target,25.60202138633013,1843241.9100000001,13108.533
no02,Case1_no02_r20_volspd.csv,target,26.02108192857105,1816460.9500000002,13129.522000000003
no03,Case1_no03_r01_volspd.csv,target,25.139185019515534,1870961.12,13065.121600000002
no03,Case1_no03_r02_volspd.csv,target,24.733599229583238,1905545.24,13091.9423
no03,Case1_no03_r03_volspd.csv,target,25.32465639540039,1869748.69,13152.984199999999
no03,Case1_no03_r04_volspd.csv,target,25.044718081906616,1885260.87,13115.5075
no03,Case1_no03_r06_volspd.csv,target,24.676074409621176,1926328.85,13203.953899999999
no03,Case1_no03_r07_volspd.csv,target,24.978607962280996,1885335.12,13081.4019
no03,Case1_no03_r08_volspd.csv,target,24.57453738559942,1933337.9999999998,13197.468600000002
no03,Case1_no03_r09_volspd.csv,target,24.304507360997416,1932426.9800000002,13046.3016
no03,Case1_no03_r11_volspd.csv,target,24.564790924222407,1907135.3199999998,13013.438999999998
no03,Case1_no03_r12_volspd.csv,target,25.01979875464081,1898697.2,13195.839399999999
no03,Case1_no03_r13_volspd.csv,target,24.71665755672953,1908977.68,13106.541
no03,Case1_no03_r14_volspd.csv,target,24.598177503495616,1905972.38,13023.179699999999
no03,Case1_no03_r15_volspd.csv,target,25.28386641271305,1878405.9899999998,13192.6017
no03,Case1_no03_r16_volspd.csv,target,24.49091922822551,1936338.1700000002,13172.972699999998
no03,Case1_no03_r17_volspd.csv,target,24.830388157188118,1911616.2800000003,13185.048400000001
no03,Case1_no03_r18_volspd.csv,target,24.611965508643898,1906411.56,13033.482100000001
no03,Case1_no03_r19_volspd.csv,target,24.278009995461506,1949126.61,13144.698699999999
no03,Case1_no03_r20_volspd.csv,target,24.4422189934819,1921120.74,13043.459400000002
no04,Case1_no04_r01_volspd.csv,target,25.365461905882352,1859289.16,13100.480099999999
no04,Case1_no04_r02_volspd.csv,target,24.899435036356742,1889707.44,13070.179900000001
no04,Case1_no04_r03_volspd.csv,target,25.505442108410307,1855880.8900000001,13148.6285
no04,Case1_no04_r04_volspd.csv,target,25.0196782394799,1889169.0,13129.5557
no04,Case1_no04_r06_volspd.csv,target,24.986896419846328,1882934.26,13069.0787
no04,Case1_no04_r07_volspd.csv,target,25.06009319051694,1874645.68,13049.6654
no04,Case1_no04_r08_volspd.csv,target,24.85875057547476,1869282.6600000001,12907.7865
no04,Case1_no04_r09_volspd.csv,target,25.349333010764795,1841717.1300000004,12968.416900000002
no04,Case1_no04_r11_volspd.csv,target,24.853984783229368,1875546.4399999997,12948.5563
no04,Case1_no04_r12_volspd.csv,target,24.638199411650728,1907917.71,13057.6825
no04,Case1_no04_r13_volspd.csv,target,24.452928312579818,1907445.9600000002,12956.2887
no04,Case1_no04_r14_volspd.csv,target,24.613914033455053,1911103.21,13066.591699999999
no04,Case1_no04_r15_volspd.csv,target,25.19701360149569,1857501.5999999999,13000.9703
no04,Case1_no04_r16_volspd.csv,target,24.78799878230653,1885532.0,12982.9347
no04,Case1_no04_r17_volspd.csv,target,24.59493807361044,1909006.8200000003,13042.195699999998
no04,Case1_no04_r18_volspd.csv,target,24.884934385321245,1891024.27,13071.6708
no04,Case1_no04_r19_volspd.csv,target,24.565791915182782,1904190.73,12993.8759
no04,Case1_no04_r20_volspd.csv,target,24.580438086379136,1900555.78,12976.803800000002
no05,Case1_no05_r01_volspd.csv,target,24.273238127234134,1938335.2,13069.353299999999
no05,Case1_no05_r02_volspd.csv,target,24.51708929053227,1918852.04,13067.963
no05,Case1_no05_r03_volspd.csv,target,24.47075399386361,1924854.79,13084.0689
no05,Case1_no05_r04_volspd.csv,target,24.247541872717633,1938646.56,13057.614899999999
no05,Case1_no05_r06_volspd.csv,target,24.429756046646347,1919425.14,13025.302200000002
no05,Case1_no05_r07_volspd.csv,target,24.586322999813365,1902212.7399999998,12991.226899999998
no05,Case1_no05_r08_volspd.csv,target,23.786233088097458,1979477.9100000001,13078.978600000002
no05,Case1_no05_r09_volspd.csv,target,23.870653856257594,1962181.42,13010.709299999999
no05,Case1_no05_r11_volspd.csv,target,24.244359507659837,1935209.17,13032.751900000001
no05,Case1_no05_r12_volspd.csv,target,24.386004089305885,1921910.5200000003,13018.8105
no05,Case1_no05_r13_volspd.csv,target,23.782727950266732,1957094.9900000002,12929.1827
no05,Case1_no05_r14_volspd.csv,target,23.992893500088392,1935400.01,12898.846200000002
no05,Case1_no05_r15_volspd.csv,target,24.30807267565945,1920520.8600000003,12967.8224
no05,Case1_no05_r16_volspd.csv,target,23.662584012794074,1994254.2900000003,13108.113800000001
no05,Case1_no05_r17_volspd.csv,target,24.12783854051051,1952406.52,13085.374800000001
no05,Case1_no05_r18_volspd.csv,target,23.749189597320022,1966830.86,12975.1775
no05,Case1_no05_r19_volspd.csv,target,23.85202489619934,1967545.3,13036.094299999999
no05,Case1_no05_r20_volspd.csv,target,24.01412060716531,1957751.51,13059.355800000001
no06,Case1_no06_r01_volspd.csv,target,24.64367841838715,1908955.6600000001,13067.6915
no06,Case1_no06_r02_volspd.csv,target,24.523801189163503,1882903.4,12826.6524
no06,Case1_no06_r03_volspd.csv,target,24.30919923806014,1910124.5,12898.2214
no06,Case1_no06_r04_volspd.csv,target,24.46179854608856,1906776.38,12956.4388
no06,Case1_no06_r06_volspd.csv,target,24.40161788517233,1897927.0299999998,12864.5806
no06,Case1_no06_r07_volspd.csv,target,24.81886437886986,1891444.2000000002,13039.8603
no06,Case1_no06_r08_volspd.csv,target,24.676690936613227,1892242.8699999999,12970.636799999998
no06,Case1_no06_r09_volspd.csv,target,24.761115320862398,1882771.56,12949.867699999999
no06,Case1_no06_r11_volspd.csv,target,24.156045619480743,1932421.8199999998,12966.5749
no06,Case1_no06_r12_volspd.csv,target,24.287320666167137,1902861.8,12837.615199999998
no06,Case1_no06_r13_volspd.csv,target,23.794271049869895,1953697.23,12913.0004
no06,Case1_no06_r14_volspd.csv,target,24.364480145431976,1917113.48,12974.8537
no06,Case1_no06_r15_volspd.csv,target,24.344447040904125,1915728.23,12954.817899999998
no06,Case1_no06_r16_volspd.csv,target,23.765835381886717,1960310.16,12941.224600000001
no06,Case1_no06_r17_volspd.csv,target,23.699547674982874,1985667.31,13072.0603
no06,Case1_no06_r18_volspd.csv,target,23.46362330852461,1993931.61,12995.7945
no06,Case1_no06_r19_volspd.csv,target,24.076442757923278,1938011.7099999997,12961.23
no06,Case1_no06_r20_volspd.csv,target,24.296040315071394,1920673.27,12962.432
no07,Case1_no07_r01_volspd.csv,target,23.059294671954824,2000638.44,12814.808700000001
no07,Case1_no07_r02_volspd.csv,target,22.894667815182352,2024816.35,12877.0827
no07,Case1_no07_r03_volspd.csv,target,22.566588236924495,2049328.8499999999,12846.211200000002
no07,Case1_no07_r04_volspd.csv,target,22.4063640626866,2068065.1099999999,12871.6166
no07,Case1_no07_r06_volspd.csv,target,22.622425944765578,2054364.91,12909.6439
no07,Case1_no07_r07_volspd.csv,target,23.158080309374405,2010302.0499999998,12931.8712
no07,Case1_no07_r08_volspd.csv,target,22.675432883737948,2045101.08,12881.5423
no07,Case1_no07_r09_volspd.csv,target,22.458668730885723,2050273.3599999999,12790.6695
no07,Case1_no07_r11_volspd.csv,target,22.278142830111836,2077507.3,12856.3901
no07,Case1_no07_r12_volspd.csv,target,22.893358926275802,2011893.19,12794.1647
no07,Case1_no07_r13_volspd.csv,target,21.9684419105054,2119431.85,12933.5043
no07,Case1_no07_r14_volspd.csv,target,22.85261806767049,2032368.5899999999,12901.373099999999
no07,Case1_no07_r15_volspd.csv,target,22.80875073530061,2027691.0900000003,12846.9724
no07,Case1_no07_r16_volspd.csv,target,22.095218076261254,2094108.2599999998,12852.716299999998
no07,Case1_no07_r17_volspd.csv,target,22.236249283814864,2082980.9600000002,12866.0233
no07,Case1_no07_r18_volspd.csv,target,22.045168884070872,2097319.4699999997,12843.2672
no07,Case1_no07_r19_volspd.csv,target,21.729224930983563,2123809.19,12819.091
no07,Case1_no07_r20_volspd.csv,target,22.64912654579966,2057288.75,12943.2759
no08,Case1_no08_r01_volspd.csv,target,23.435595497760346,1982929.54,12908.648499999998
no08,Case1_no08_r02_volspd.csv,target,23.03794944351356,2006316.64,12839.2837
no08,Case1_no08_r03_volspd.csv,target,22.483606503237322,2056003.7,12840.6606
no08,Case1_no08_r04_volspd.csv,target,23.00066556933664,2027241.83,12952.1976
no08,Case1_no08_r06_volspd.csv,target,22.88504972041462,2022766.72,12858.6436
no08,Case1_no08_r07_volspd.csv,target,22.810893756864846,2017670.88,12784.687800000002
no08,Case1_no08_r08_volspd.csv,target,23.038190342272497,2016970.14,12907.595
no08,Case1_no08_r09_volspd.csv,target,22.97068862532278,2030293.04,12954.7859
no08,Case1_no08_r11_volspd.csv,target,22.010009274361774,2079485.4100000001,12713.748099999999
no08,Case1_no08_r12_volspd.csv,target,22.84268773148878,2013556.0499999998,12776.3978
no08,Case1_no08_r13_volspd.csv,target,22.657895151848574,2029771.79,12775.099
no08,Case1_no08_r14_volspd.csv,target,23.132660582725876,1994472.62,12815.960600000002
no08,Case1_no08_r15_volspd.csv,target,23.224550606065712,2011600.36,12977.3651
no08,Case1_no08_r16_volspd.csv,target,22.36545398564953,2067018.42,12841.612599999999
no08,Case1_no08_r17_volspd.csv,target,22.387416118518722,2061122.4000000001,12817.556899999998
no08,Case1_no08_r18_volspd.csv,target,21.86165323773206,2111882.6,12824.7903
no08,Case1_no08_r19_volspd.csv,target,21.671405937265284,2144754.09,12911.0657
no08,Case1_no08_r20_volspd.csv,target,22.908851084413183,2022659.3900000001,12871.334100000002
no01,Case1_no01_r01_volspd.csv,non_target,26.925488652842407,10102834.92,75562.1575
no01,Case1_no01_r02_volspd.csv,non_target,27.13119881578334,10016437.36,75488.3204
no01,Case1_no01_r03_volspd.csv,non_target,27.0525269558494,10018307.01,75283.47790000001
no01,Case1_no01_r04_volspd.csv,non_target,27.00919143964977,10047812.26,75384.2458
no01,Case1_no01_r06_volspd.csv,non_target,27.168604263736214,10011799.48,75557.39390000001
no01,Case1_no01_r07_volspd.csv,non_target,27.25397364379758,9978759.3,75544.6786
no01,Case1_no01_r08_volspd.csv,non_target,27.101770875058126,10014504.93,75391.89390000001
no01,Case1_no01_r09_volspd.csv,non_target,27.023201624623074,10057175.899999999,75493.63669999999
no01,Case1_no01_r11_volspd.csv,non_target,27.173941296380644,9998572.6,75472.3958
no01,Case1_no01_r12_volspd.csv,non_target,27.079010111862797,10030987.57,75452.55940000001
no01,Case1_no01_r13_volspd.csv,non_target,27.328661013674438,9946221.590000002,75504.6995
no01,Case1_no01_r14_volspd.csv,non_target,27.158932470874298,10013785.8,75545.4812
no01,Case1_no01_r15_volspd.csv,non_target,26.90005027600567,10084671.469999999,75355.0471
no01,Case1_no01_r16_volspd.csv,non_target,27.08491574859395,10037050.89,75514.63269999999
no01,Case1_no01_r17_volspd.csv,non_target,27.062761845301953,10044038.81,75505.39730000001
no01,Case1_no01_r18_volspd.csv,non_target,27.02330645242559,10064211.219999999,75546.74
no01,Case1_no01_r19_volspd.csv,non_target,27.077036212113995,10021747.42,75377.5605
no01,Case1_no01_r20_volspd.csv,non_target,27.253340282867995,9963870.97,75430.21280000001
no02,Case1_no02_r01_volspd.csv,non_target,27.14073252010455,10016382.56,75514.43330000002
no02,Case1_no02_r02_volspd.csv,non_target,26.92817775455453,10099532.61,75545.0026
no02,Case1_no02_r03_volspd.csv,non_target,26.986141445811686,10080447.65,75564.5517
no02,Case1_no02_r04_volspd.csv,non_target,27.029476101275,10055172.4,75496.1228
no02,Case1_no02_r06_volspd.csv,non_target,27.339439068675887,9940584.809999999,75491.67020000001
no02,Case1_no02_r07_volspd.csv,non_target,27.14748096618964,10012962.27,75507.4174
no02,Case1_no02_r08_volspd.csv,non_target,27.304041918941962,9957195.97,75519.9156
no02,Case1_no02_r09_volspd.csv,non_target,27.159844388515005,9997303.22,75423.6666
no02,Case1_no02_r11_volspd.csv,non_target,27.19172323144541,10001033.55,75540.3712
no02,Case1_no02_r12_volspd.csv,non_target,27.026306563572177,10056270.15,75495.51109999999
no02,Case1_no02_r13_volspd.csv,non_target,27.158870169419675,10016369.0,75564.7959
no02,Case1_no02_r14_volspd.csv,non_target,27.37055214443457,9926402.870000001,75469.7576
